URL,Name,Description,Duration,Price,Technology
https://gb.ru/geek_university/developer/programmer/android,Android-разработчик с нуля до Junior,Онлайн курс «Android-разработчик с нуля до Junior» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 12 месяцев. ✅Помощь в трудоустройстве! Обучение на Android-разработчика с нуля до Junior онлайн.,12 месяцев,4525 ₽,"['JavaScript', 'Kotlin', 'Java', 'Swift']"
https://gb.ru/geek_university/developer/programmer/python/master,Python-разработчик с нуля до Middleв,Онлайн курс «Python-разработчик с нуля до Middleв» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Middle. ⌚ Длительность обучения: 24 месяца. ✅Помощь в трудоустройстве! Обучение на Python-разработчика с нуля до Middle онлайн.,24 месяца,5223 ₽,"['SQL', 'Python', 'JavaScript']"
https://gb.ru/geek_university/developer/programmer/java/master,Java-разработчик с нуля до Middle,Онлайн курс «Java-разработчик с нуля до Middle» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Middle. ⌚ Длительность обучения: 24 месяца. ✅Помощь в трудоустройстве! Обучение на Java-разработчика с нуля до Middle онлайн.,24 месяца,5223 ₽,"['SQL', 'Linux', 'Java']"
https://gb.ru/geek_university/developer/qa-engineer/security,Специалист по информационной безопасности с нуля до Junior,Онлайн курс «Специалист по информационной безопасности с нуля до Junior» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 12 месяцев. ✅Помощь в трудоустройстве! Обучение на специалиста по информационной безопасности с нуля до Junior онлайн.,12 месяцев,3577 ₽,"['Python', 'Linux']"
https://gb.ru/geek_university/developer/analyst/data-science-medicine,Data Scientist в медицине: с нуля до Middle,Онлайн курс «Data Scientist в медицине: с нуля до Middle» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Middle. ⌚ Длительность обучения: 24 месяца. ✅Помощь в трудоустройстве! Обучение на Data Scientist в медицине: с нуля до Middle онлайн.,24 месяца,4279 ₽,"['SQL', 'Python']"
https://gb.ru/geek_university/engineer/datascience,ИТ-специалист в сфере Data Science,Онлайн курс «ИТ-специалист в сфере Data Science» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Middle. ⌚ Длительность обучения: 24 месяца. ✅Помощь в трудоустройстве! Обучение на ИТ-специалиста в сфере Data Science онлайн.,24 месяца,4129 ₽,"['SQL', 'Python']"
https://gb.ru/geek_university/developer/programmer/android-spec,Android-разработчик: быстрый старт в профессии,Онлайн курс «Android-разработчик: быстрый старт в профессии» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 9 месяцев. ✅Помощь в трудоустройстве! Обучение на Android-разработчика: быстрый старт в профессии онлайн.,9 месяцев,3839 ₽,"['JavaScript', 'Kotlin', 'Java', 'Swift']"
https://gb.ru/geek_university/developer/architecture/network-engineer,Сетевой инженер,Онлайн курс «Сетевой инженер» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 12 месяцев. ✅Помощь в трудоустройстве! Обучение на сетевого инженера онлайн.,12 месяцев,3577 ₽,"['Python', 'Linux']"
https://gb.ru/geek_university/developer/analyst/systems,Системный аналитик: быстрый старт в профессии,Онлайн курс «Системный аналитик: быстрый старт в профессии» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 9 месяцев. ✅Помощь в трудоустройстве! Обучение на системного аналитика: быстрый старт в профессии онлайн.,9 месяцев,3839 ₽,"['SQL', 'Python']"
https://gb.ru/geek_university/it-specialist/qa,Тестировщик ПО,Онлайн курс «Тестировщик ПО» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 6 месяцев. ✅Помощь в трудоустройстве! Обучение на тестировщика ПО онлайн.,6 месяцев,2516 ₽,['JavaScript']
https://gb.ru/geek_university/developer/analyst/finance,Финансовый аналитик,Онлайн курс «Финансовый аналитик» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 9 месяцев. ✅Помощь в трудоустройстве! Обучение на финансового аналитика онлайн.,9 месяцев,3839 ₽,"['SQL', 'Python', '1C']"
https://gb.ru/geek_university/developer/analyst/bi,BI-аналитик,Онлайн курс «BI-аналитик» от GeekBrains: получи новую профессию дистанционно! ✅ Курс ориентирован на уровень: Junior. ⌚ Длительность обучения: 12 месяцев. ✅Помощь в трудоустройстве! Обучение на BI-аналитика онлайн.,12 месяцев,3005 ₽,"['SQL', 'Python']"
