URL,Name,Description,Duration,Price,Technology
https://stepik.org/course/51562/info,Основы SQL,"Курс по основам SQL на Stepik (с поддержкой). 

Более 4-х часов видео и 260 практических задач на SQL тренажере из реальной практики.

Обучение SQL на примере MySQL — одной из самых популярных баз данных",32,5400,"['SQL', 'Machine Learning']"
https://stepik.org/course/133512/info,Базы данных и SQL,"Освойте один из основных инструментов работы с данными, необходимый любому специалисту в сфере ИТ. Научитесь составлять SQL-запросы и работать с СУБД, даже если нет опыта в базах данных и html.",15,30000,['SQL']
https://stepik.org/course/134773/info,Программирование на Python с Нуля + Работа с SQL,"ДОМАШНИЕ ЗАДАНИЯ ПРОВЕРЯЮТСЯ ЛИЧНО АВТОРОМ + так же есть разнообразные тестовые задания! Данный курс подходит для тех, кто желает изучить программирование на Python 3, работу с базами данных и SQL-запросами! Так же он подойдет для тех кто уже работает разработчиком, тестировщиком или в сфере IT и планирует сменить направление.",24,254915,"['SQL', 'Python']"
https://stepik.org/course/92012/info,Визуализация данных и основы работы в Tableau,"Это курс про визуализацию данных и основы работы с Tableau. Он подойдет тем, кто хочет уметь рисовать хорошие качественные графики быстро и эффективно (и никакого программирования!). Умение строить графики и коммуницировать ваши данные - это уже базовая необходимость для работы с ними.

Практика построена вокруг Tableau (одного из самых популярных BI инструментов). Сейчас Tableau - один из топовых навыков на рынке, так что будет +1 отличная строчка для резюме. А лекционная часть позволит отличать плохие графики от хороших и вместе смеяться на 3D пайчартами.",10,4800,"['SQL', 'Аналитика данных']"
https://stepik.org/course/101108/info,SQL for everybody. Junior,"Простым и понятным любому языком объясняем устройство базовых SQL запросов новичкам.
Теоретические основы и много практики.
Изучите основы SQL всего за 1-2 дня",4,299,['SQL']
https://stepik.org/course/128891/info,Быстрый старт в SQL,"За 4 занятия научим писать запросы на SQL. 
Освойте один из основных инструментов работы с данными, необходимый любому специалисту в сфере ИТ. 
",4,8000,['SQL']
https://stepik.org/course/173184/info,Python Тренажер,"Курс включает в себя разнообразные практические задачи по программированию, которые помогут улучшить ваш уровень программирования на Python. Вы столкнетесь как с классическими задачами, так и с теми, которые встречаются на собеседованиях в таких крупных компаниях, как Google, Amazon, Apple, Twitter и Microsoft. Это позволит вам разносторонне развить навыки работы с переменными, типами данных, условными конструкциями, циклами, функциями и различными алгоритмами.",52,799,['Python']
https://stepik.org/course/78983/info,Парсинг сайтов Python,"Вы научитесь собирать данные с сайтов и автоматизировать любые действия, которые может совершить пользователь, используя интернет ресурсы.",1,29,['Python']
https://stepik.org/course/58638/info,Python в примерах и задачах,"В курсе реализуется проблемно-ориентированное обучение, когда минимальные теоретические аспекты программирования на Python предлагаются слушателю, только если этого потребует решаемая задача. Кроме того, в научно-популярной форме объясняется физическая, математическая или экономическая суть каждой задачи.",10,0,['Python']
https://stepik.org/course/169610/info,Работа с датой и временем в Python,"Наш практический курс даст отличное понимание, как работать с датой и временем в Python. Вы будете решать реальные задачи из практики бэкенд-разработчиков, чтобы на работе вы чувствовали себя уверенно.
Если вам не достает практики в работе с датой и временем, тогда скорее записывайтесь!",25,490,['Python']
