URL,Name,Description,Duration,Price,Technology
https://ru.hexlet.io//courses/gulp,Курс Gulp - онлайн обучение HTML на Хекслете,"Gulp: 6 уроков - 3 теста - 4 упражнения | На этом курсе вы изучите таск-менеджер Gulp. Вы узнаете больше об автоматизации выполнения рутинных задач. В итоге вы научитесь создавать задачи для выполнения, использовать сто...",6 часов,3900 ₽,['Веб-разработка']
https://ru.hexlet.io//courses/production-basics,Курс Продакшен и Деплой - онлайн обучение инструментам Shell на Хекслете,"Продакшен и Деплой: 9 уроков - 8 тестов | На этом курсе вы изучите деплой на продакшен. Вы узнаете больше о PaaS, 12 факторах и балансировке нагрузки. В итоге вы научитесь автоматизировать процесс выкладки кода и контро...",3 часа,3900 ₽,['Веб-разработка']
https://ru.hexlet.io//courses/js-basics,Курс Основы JavaScript - онлайн обучение программированию на JavaScript на Хекслете,"Основы JavaScript: 39 уроков - 38 тестов - 38 упражнений | На этом курсе вы изучите основы JavaScript — одного из самых широко используемых языков. На курсе вы познакомитесь с экосистемой JavaScript, ключевыми возможностями языка, а та...",50 часов,3900 ₽,"['Веб-разработка', 'JavaScript']"
https://ru.hexlet.io//courses/internet-fundamentals,Курс Введение в интернет - онлайн обучение программированию на Хекслете,"Введение в интернет: 12 уроков - 9 тестов | На этом курсе вы изучите основы работы интернета. Вы узнаете больше о том, как компьютеры соединяются друг с другом и обмениваются информацией друг с другом. В итоге вы научитес...",4 часа,3900 ₽,['Веб-разработка']
https://ru.hexlet.io//courses/typescript-basics,Курс Основы Typescript - онлайн обучение программированию на JavaScript на Хекслете,"Основы Typescript: 34 урока - 32 теста - 33 упражнения | На этом курсе вы изучите основы языка Typescript. Вы узнаете о работе с ошибками, отладке и импорте модулей. В итоге вы научитесь писать простые программы на Typescript. Знания ...",44 часа,3900 ₽,"['Веб-разработка', 'JavaScript']"
https://ru.hexlet.io//courses/php-orm-eloquent,Курс PHP: Eloquent (ORM) - онлайн обучение программированию на PHP на Хекслете,"PHP: Eloquent (ORM): 10 уроков - 8 тестов - 7 упражнений | На этом курсе вы глубже познакомитесь с Eloquent ORM. Вы узнаете о общих концепциях, которые свойствены всем ORM на примере Eloquent (Входит в состав Laravel). В итоге поймете, ...",10 часов,3900 ₽,['PHP']
https://ru.hexlet.io//courses/php-introduction-to-oop,Курс PHP: Введение в ООП - онлайн обучение программированию на PHP на Хекслете,"PHP: Введение в ООП: 18 уроков - 16 тестов - 15 упражнений | На этом курсе вы познакомитесь с объектно ориентированным программированием на PHP. Вы узнаете о классах, интерфейсах, инкапсуляции и магических методах. В итоге поймете, для че...",21 час,3900 ₽,['PHP']
https://ru.hexlet.io//courses/php-testing,Курс PHP: Автоматическое тестирование - онлайн обучение программированию на PHP на Хекслете,"PHP: Автоматическое тестирование: 11 уроков - 8 тестов - 9 упражнений | На этом курсе вы изучите автоматическое тестирование в PHP. Вы познакомитесь с такими понятиями, как утверждения, TDD и непрерывная интеграция. Также научитесь лучше строить арх...",13 часов,3900 ₽,"['PHP', 'Тестирование']"
https://ru.hexlet.io//courses/php-basics,Курс Основы PHP - онлайн обучение программированию на PHP на Хекслете,"Основы PHP: 42 урока - 40 тестов - 39 упражнений | Курс «Базовый курс PHP» для начинающих. Освойте основы программирования на PHP с нуля: создание простых программ, использование основных конструкций языка, анализ ошибок",52 часа,3900 ₽,['PHP']
https://ru.hexlet.io//courses/js-introduction-to-oop,Курс JS: Введение в ООП - онлайн обучение программированию на JavaScript на Хекслете,"JS: Введение в ООП: 13 уроков - 12 тестов - 11 упражнений | На этом курсе вы изучите понятия и синтаксические конструкции, которые характерны ООП. Вы узнаете больше о инкапсуляции, сокрытии данных и особенностях поведения this. Также нау...",15 часов,3900 ₽,['JavaScript']
https://ru.hexlet.io//courses/js-testing,Курс JS: Автоматическое тестирование - онлайн обучение программированию на JavaScript на Хекслете,"JS: Автоматическое тестирование: 12 уроков - 11 тестов - 10 упражнений | На этом курсе вы изучите автоматическое тестирование в JavaScript. Вы познакомитесь с такими понятиями, как утверждения, TDD и непрерывная интеграция. Также вы научитесь строить...",14 часов,3900 ₽,"['JavaScript', 'Тестирование']"
